"Avalanch","Pinecones on Mars","The winner is Pinecones on Mars"
"2","997","1"
"rock","5362423","paper","9000881","Pinecones on Mars won"
"rock","19098608","paper","25855197","Pinecones on Mars won"
"rock","5000898","paper","8301537","Pinecones on Mars won"
"rock","9887871","paper","9521588","Pinecones on Mars won"
"rock","5924670","paper","11284340","Pinecones on Mars won"
"rock","7925062","paper","7684911","Pinecones on Mars won"
"rock","9442832","paper","9202713","Pinecones on Mars won"
"rock","8693629","paper","14489867","Pinecones on Mars won"
"rock","4006999","paper","7803601","Pinecones on Mars won"
"rock","9257545","paper","9019563","Pinecones on Mars won"
"rock","9473910","paper","9239741","Pinecones on Mars won"
"rock","8807857","paper","14190007","Pinecones on Mars won"
"rock","4650268","paper","12535137","Pinecones on Mars won"
"rock","4837625","paper","8629271","Pinecones on Mars won"
"rock","8770228","paper","8525231","Pinecones on Mars won"
"rock","10226848","paper","9958146","Pinecones on Mars won"
"rock","9491063","paper","9444441","Pinecones on Mars won"
"rock","9412629","paper","13566389","Pinecones on Mars won"
"rock","5092786","paper","14451995","Pinecones on Mars won"
"rock","4815705","paper","10173226","Pinecones on Mars won"
"rock","10801443","paper","10540303","Pinecones on Mars won"
"rock","3198457","paper","9517209","Pinecones on Mars won"
"rock","9594443","paper","9328412","Pinecones on Mars won"
"rock","9562284","paper","9517435","Pinecones on Mars won"
"rock","14615005","paper","22364089","Pinecones on Mars won"
"rock","8058606","paper","10685788","Pinecones on Mars won"
"rock","9341534","paper","13371572","Pinecones on Mars won"
"rock","4898106","paper","12804066","Pinecones on Mars won"
"rock","5080806","paper","13465954","Pinecones on Mars won"
"rock","3201915","paper","13617937","Pinecones on Mars won"
"rock","8214548","paper","12474314","Pinecones on Mars won"
"rock","4763052","paper","13062776","Pinecones on Mars won"
"rock","4779669","paper","12945630","Pinecones on Mars won"
"rock","4905018","paper","14617389","Pinecones on Mars won"
"rock","3322957","paper","13702070","Pinecones on Mars won"
"rock","11104281","paper","11140911","Pinecones on Mars won"
"rock","9079402","paper","13436120","Pinecones on Mars won"
"rock","4754954","paper","11723098","Pinecones on Mars won"
"rock","6005437","paper","11632781","Pinecones on Mars won"
"rock","3844561","paper","12242562","Pinecones on Mars won"
"rock","4947098","paper","12933836","Pinecones on Mars won"
"rock","4802140","paper","13057103","Pinecones on Mars won"
"rock","4825484","paper","14812850","Pinecones on Mars won"
"rock","3199142","paper","15069095","Pinecones on Mars won"
"rock","5089833","paper","13886660","Pinecones on Mars won"
"rock","14057415","paper","13805026","Pinecones on Mars won"
"rock","5318661","paper","9524738","Pinecones on Mars won"
"rock","10340604","paper","14553517","Pinecones on Mars won"
"rock","4913794","paper","13369752","Pinecones on Mars won"
"rock","4882965","paper","13126181","Pinecones on Mars won"
"rock","4752905","paper","13947819","Pinecones on Mars won"
"rock","5360722","paper","13802061","Pinecones on Mars won"
"rock","3247077","paper","15378092","Pinecones on Mars won"
"rock","4807069","paper","13276553","Pinecones on Mars won"
"rock","4607786","paper","14806773","Pinecones on Mars won"
"rock","6537278","paper","15108335","Pinecones on Mars won"
"rock","5423112","paper","13591536","Pinecones on Mars won"
"rock","4200355","paper","13692955","Pinecones on Mars won"
"rock","3266379","paper","12926265","Pinecones on Mars won"
"rock","3976736","paper","12556717","Pinecones on Mars won"
"rock","8270215","paper","13047948","Pinecones on Mars won"
"rock","8038613","paper","12964914","Pinecones on Mars won"
"rock","8149332","paper","12238255","Pinecones on Mars won"
"rock","5622195","paper","14353289","Pinecones on Mars won"
"rock","4355933","paper","13129970","Pinecones on Mars won"
"rock","4140417","paper","21539228","Pinecones on Mars won"
"rock","4074279","paper","13742588","Pinecones on Mars won"
"rock","3415396","paper","12223729","Pinecones on Mars won"
"rock","4628456","paper","13480571","Pinecones on Mars won"
"rock","4598930","paper","14050283","Pinecones on Mars won"
"rock","10600400","paper","12345181","Pinecones on Mars won"
"rock","5944025","paper","15674765","Pinecones on Mars won"
"rock","5564732","paper","12107829","Pinecones on Mars won"
"rock","14949679","paper","19495180","Pinecones on Mars won"
"rock","4741207","paper","14198200","Pinecones on Mars won"
"rock","3318830","paper","12297579","Pinecones on Mars won"
"rock","8511953","paper","17579223","Pinecones on Mars won"
"rock","6421061","paper","14641567","Pinecones on Mars won"
"rock","6542616","paper","15870648","Pinecones on Mars won"
"rock","4796368","paper","11377788","Pinecones on Mars won"
"rock","7957391","paper","16477995","Pinecones on Mars won"
"rock","6351383","paper","15618417","Pinecones on Mars won"
"rock","5198593","paper","11488763","Pinecones on Mars won"
"rock","9978520","paper","14781253","Pinecones on Mars won"
"rock","6608927","paper","15148918","Pinecones on Mars won"
"rock","17898272","paper","19350379","Pinecones on Mars won"
"rock","7667964","paper","12903562","Pinecones on Mars won"
"rock","8195152","paper","13501624","Pinecones on Mars won"
"rock","12208191","paper","13516017","Pinecones on Mars won"
"rock","5267830","paper","16048993","Pinecones on Mars won"
"rock","5178774","paper","14401236","Pinecones on Mars won"
"rock","4855796","paper","14721313","Pinecones on Mars won"
"rock","10020641","paper","14883053","Pinecones on Mars won"
"rock","4147186","paper","13587556","Pinecones on Mars won"
"rock","3787853","paper","13075718","Pinecones on Mars won"
"rock","8092602","paper","13767859","Pinecones on Mars won"
"rock","11890693","paper","13260867","Pinecones on Mars won"
"rock","12383935","paper","17167761","Pinecones on Mars won"
"rock","4137011","paper","13606225","Pinecones on Mars won"
"rock","7840551","paper","13407400","Pinecones on Mars won"
"rock","11963337","paper","13546358","Pinecones on Mars won"
"rock","9281157","paper","17648407","Pinecones on Mars won"
"rock","3481601","paper","12870674","Pinecones on Mars won"
"rock","7956508","paper","13695716","Pinecones on Mars won"
"rock","7801179","paper","13703173","Pinecones on Mars won"
"rock","15145451","paper","23355235","Pinecones on Mars won"
"rock","8553993","paper","14804139","Pinecones on Mars won"
"rock","4357577","paper","15377595","Pinecones on Mars won"
"rock","4800100","paper","14467196","Pinecones on Mars won"
"rock","3434585","paper","15271394","Pinecones on Mars won"
"rock","4806957","paper","14523125","Pinecones on Mars won"
"rock","3331585","paper","13147458","Pinecones on Mars won"
"rock","11722371","paper","17279671","Pinecones on Mars won"
