"BeatLast","HaiCat","The winner is BeatLast"
"999","1","0"
"paper","5255444","rock","5293438","BeatLast won"
"paper","4700120","rock","5089935","BeatLast won"
"paper","4819576","rock","5229891","BeatLast won"
"paper","5155228","rock","5194967","BeatLast won"
"paper","5243638","rock","5284657","BeatLast won"
"paper","4732351","rock","5125488","BeatLast won"
"paper","4896866","rock","4669663","BeatLast won"
"paper","4792954","rock","5180297","BeatLast won"
"paper","4776769","rock","5181962","BeatLast won"
"paper","4883397","rock","4654282","BeatLast won"
"paper","4795533","rock","5177441","BeatLast won"
"paper","4776025","rock","5167996","BeatLast won"
"paper","4937982","rock","4701383","BeatLast won"
"paper","4722804","rock","5118358","BeatLast won"
"paper","4874784","rock","5317220","BeatLast won"
"paper","3928220","rock","4339865","BeatLast won"
"paper","4665177","rock","5058371","BeatLast won"
"paper","6171377","rock","8030713","BeatLast won"
"paper","4450934","rock","4491670","BeatLast won"
"paper","6377494","rock","6772785","BeatLast won"
"paper","4729212","rock","5123480","BeatLast won"
"paper","4401464","rock","4847471","BeatLast won"
"paper","4886332","rock","4655965","BeatLast won"
"paper","4744921","rock","5253190","BeatLast won"
"paper","4598824","rock","4989533","BeatLast won"
"paper","4617504","rock","5010850","BeatLast won"
"paper","4719705","rock","5103739","BeatLast won"
"paper","6641698","rock","7035159","BeatLast won"
"paper","4933664","rock","4703120","BeatLast won"
"paper","4788762","rock","5176826","BeatLast won"
"paper","4732006","rock","5126254","BeatLast won"
"paper","5240394","rock","5280400","BeatLast won"
"paper","4755373","rock","5163011","BeatLast won"
"paper","4896220","rock","4654253","BeatLast won"
"paper","4778115","rock","5164082","BeatLast won"
"paper","4755891","rock","5151682","BeatLast won"
"paper","3501174","rock","3899879","BeatLast won"
"paper","5740055","rock","6139548","BeatLast won"
"paper","4720026","rock","5362845","BeatLast won"
"paper","5262917","rock","5666510","BeatLast won"
"paper","4396883","rock","4436749","BeatLast won"
"paper","4685626","rock","5195254","BeatLast won"
"paper","4600183","rock","5033787","BeatLast won"
"paper","4555356","rock","4943471","BeatLast won"
"paper","4730183","rock","5107454","BeatLast won"
"paper","4753865","rock","5152326","BeatLast won"
"paper","4712964","rock","5099917","BeatLast won"
"paper","4922980","rock","4692903","BeatLast won"
"paper","5276495","rock","5316520","BeatLast won"
"paper","5057936","rock","4869621","BeatLast won"
"paper","4911581","rock","4679089","BeatLast won"
"paper","5008199","rock","4773558","BeatLast won"
"paper","5325327","rock","5364838","BeatLast won"
"paper","4724408","rock","5113039","BeatLast won"
"paper","4719400","rock","5107850","BeatLast won"
"paper","4745304","rock","5134232","BeatLast won"
"paper","4920300","rock","4684068","BeatLast won"
"paper","11959369","rock","11473923","BeatLast won"
"paper","5019173","rock","5406754","BeatLast won"
"paper","4733171","rock","5123252","BeatLast won"
"paper","4724297","rock","5123888","BeatLast won"
"paper","4641714","rock","5036064","BeatLast won"
"paper","4920045","rock","4686453","BeatLast won"
"paper","4775000","rock","5169483","BeatLast won"
"paper","4725343","rock","5113801","BeatLast won"
"paper","4950111","rock","4707161","BeatLast won"
"paper","4747771","rock","5135780","BeatLast won"
"paper","6107014","rock","7975305","BeatLast won"
"paper","5654389","rock","6045739","BeatLast won"
"paper","4933942","rock","4699345","BeatLast won"
"paper","4771325","rock","5156167","BeatLast won"
"paper","4703348","rock","5086519","BeatLast won"
"paper","4713384","rock","5099576","BeatLast won"
"paper","4808777","rock","4998000","BeatLast won"
"paper","4998779","rock","4760706","BeatLast won"
