"HaiCat","Poop","The winner is Poop"
"0","999","1"
"rock","10552963","paper","10616308","Poop won"
"rock","10693748","paper","11155617","Poop won"
"rock","9847866","paper","10285679","Poop won"
"rock","11385348","paper","11826116","Poop won"
"rock","11598945","paper","12055255","Poop won"
"rock","9492455","paper","9933702","Poop won"
"rock","12301204","paper","12799976","Poop won"
"rock","12216803","paper","12227133","Poop won"
"rock","13074708","paper","13527027","Poop won"
"rock","9153175","paper","9637968","Poop won"
"rock","8489904","paper","8946045","Poop won"
"rock","8861872","paper","8873207","Poop won"
"rock","8867183","paper","9322822","Poop won"
"rock","8414188","paper","10290508","Poop won"
"rock","8919538","paper","9460605","Poop won"
"rock","11236575","paper","11284515","Poop won"
"rock","8247648","paper","8737983","Poop won"
"rock","11156539","paper","11699054","Poop won"
"rock","9337693","paper","9779999","Poop won"
"rock","11661439","paper","12095453","Poop won"
"rock","11656481","paper","12116591","Poop won"
"rock","9507932","paper","9949002","Poop won"
"rock","13145163","paper","13633471","Poop won"
"rock","10693715","paper","11147050","Poop won"
"rock","8165590","paper","8613368","Poop won"
"rock","9548113","paper","10038288","Poop won"
"rock","10552226","paper","11007181","Poop won"
"rock","9722380","paper","10163531","Poop won"
"rock","12082967","paper","12580780","Poop won"
"rock","12495443","paper","12506522","Poop won"
"rock","11988043","paper","12430474","Poop won"
"rock","13240226","paper","13847193","Poop won"
"rock","11360724","paper","10807514","Poop won"
"rock","9697847","paper","10137034","Poop won"
"rock","11553150","paper","11991277","Poop won"
"rock","11747416","paper","12206486","Poop won"
"rock","9400062","paper","9842318","Poop won"
"rock","11587253","paper","12028204","Poop won"
"rock","11673214","paper","12121890","Poop won"
"rock","9486679","paper","9929009","Poop won"
"rock","8057170","paper","8498760","Poop won"
"rock","8370706","paper","8835273","Poop won"
"rock","5428069","paper","5873881","Poop won"
"rock","11317026","paper","11753562","Poop won"
"rock","9664562","paper","10174937","Poop won"
"rock","15523767","paper","15962155","Poop won"
"rock","9198691","paper","9209226","Poop won"
"rock","8665035","paper","9155840","Poop won"
"rock","16248139","paper","16696017","Poop won"
"rock","11075076","paper","11514827","Poop won"
"rock","9604809","paper","10086437","Poop won"
"rock","7251407","paper","7692549","Poop won"
"rock","14008144","paper","14585580","Poop won"
"rock","11214296","paper","11738196","Poop won"
"rock","12050225","paper","12102314","Poop won"
"rock","10998432","paper","11047336","Poop won"
"rock","11474733","paper","11920062","Poop won"
"rock","12150804","paper","11584491","Poop won"
"rock","8747030","paper","8800320","Poop won"
"rock","10806143","paper","11261779","Poop won"
"rock","11390390","paper","11873151","Poop won"
"rock","9346512","paper","9802270","Poop won"
"rock","8404718","paper","8846975","Poop won"
"rock","8762921","paper","10660173","Poop won"
"rock","11916152","paper","12454795","Poop won"
"rock","10859674","paper","11412538","Poop won"
"rock","9742276","paper","10218183","Poop won"
"rock","12899225","paper","13353398","Poop won"
"rock","9506072","paper","9944649","Poop won"
"rock","8669991","paper","9173620","Poop won"
"rock","12099720","paper","12540750","Poop won"
"rock","8493938","paper","8934184","Poop won"
"rock","8489729","paper","8990624","Poop won"
