"Avalanch","hummingbird","Clients TIE!"
"0","1","999"
"rock","5399180","rock","662364","Tie"
"rock","5184017","rock","553926","Tie"
"rock","5316680","rock","592131","Tie"
"rock","5337739","rock","634526","Tie"
"rock","4480651","rock","680135","Tie"
"rock","6266943","rock","634365","Tie"
"rock","5289960","rock","617617","Tie"
"rock","5335166","rock","603854","Tie"
"rock","3438494","rock","589260","Tie"
"rock","7191076","rock","630175","Tie"
"rock","4169048","rock","575114","Tie"
"rock","6572819","rock","588278","Tie"
"rock","5194395","rock","582221","Tie"
"rock","5328409","rock","578412","Tie"
"rock","5195926","rock","594901","Tie"
"rock","5669190","rock","643652","Tie"
"rock","5258492","rock","607459","Tie"
"rock","5347046","rock","763192","Tie"
"rock","5289424","rock","608120","Tie"
"rock","5346344","rock","548734","Tie"
"rock","5294313","rock","561881","Tie"
"rock","5374459","rock","582648","Tie"
"rock","5409642","rock","561070","Tie"
"rock","5247873","rock","658424","Tie"
"rock","5285556","rock","584727","Tie"
"rock","5257860","rock","566058","Tie"
"rock","2889862","rock","548017","Tie"
"rock","12676415","rock","684203","Tie"
"rock","4579447","rock","574176","Tie"
"rock","5194837","rock","604532","Tie"
"rock","5410639","rock","574093","Tie"
"rock","5212062","rock","1399258","Tie"
"rock","2968437","rock","551185","Tie"
"rock","7643909","rock","587209","Tie"
"rock","5281407","rock","584038","Tie"
"rock","5269951","rock","581528","Tie"
"rock","5602721","rock","649417","Tie"
"rock","5300860","rock","612573","Tie"
"rock","5262218","rock","631395","Tie"
"rock","4484577","rock","582744","Tie"
"rock","6310965","rock","630622","Tie"
"rock","6348299","rock","1004056","Tie"
"rock","4239409","rock","593945","Tie"
"rock","5429171","rock","594194","Tie"
"rock","5174067","rock","593060","Tie"
"rock","5334562","rock","590386","Tie"
"rock","5397592","rock","634185","Tie"
"rock","5220769","rock","599098","Tie"
"rock","5362177","rock","678399","Tie"
"rock","5327541","rock","580107","Tie"
"rock","5323549","rock","595091","Tie"
"rock","5327321","rock","555396","Tie"
"rock","5349017","rock","818745","Tie"
"rock","5295648","rock","546266","Tie"
"rock","5340326","rock","548516","Tie"
"rock","5324296","rock","566235","Tie"
"rock","5724824","rock","567694","Tie"
"rock","3518442","rock","557688","Tie"
"rock","11942834","rock","699806","Tie"
"rock","3738619","rock","559534","Tie"
"rock","5300784","rock","551599","Tie"
"rock","5345978","rock","573850","Tie"
"rock","5289920","rock","542360","Tie"
"rock","3848383","rock","598359","Tie"
"rock","4733392","rock","571938","Tie"
"rock","7239562","rock","639116","Tie"
"rock","5322036","rock","579438","Tie"
"rock","2971164","rock","575013","Tie"
"rock","3646313","rock","594421","Tie"
"rock","5419992","rock","579732","Tie"
"rock","5218274","rock","589626","Tie"
"rock","5326437","rock","635883","Tie"
"rock","6687249","rock","577124","Tie"
"rock","3866800","rock","603694","Tie"
"rock","5337385","rock","577570","Tie"
"rock","5320140","rock","549173","Tie"
"rock","5290236","rock","604546","Tie"
"rock","5330603","rock","635184","Tie"
"rock","9395996","rock","583018","Tie"
"rock","5161834","rock","683715","Tie"
"rock","5359550","rock","583137","Tie"
"rock","5292318","rock","544341","Tie"
"rock","5341863","rock","615245","Tie"
"rock","5289110","rock","629324","Tie"
"rock","3023968","rock","543502","Tie"
"rock","3886723","rock","635522","Tie"
"rock","3407177","rock","587081","Tie"
"rock","7366787","rock","587870","Tie"
"rock","5278346","rock","570525","Tie"
"rock","17482039","rock","3242091","Tie"
"rock","5121069","rock","589528","Tie"
"rock","5357468","rock","680676","Tie"
"rock","5346292","rock","572002","Tie"
"rock","5500224","rock","560456","Tie"
"rock","5263961","rock","555618","Tie"
"rock","5287374","rock","649821","Tie"
"rock","5526138","rock","553601","Tie"
"rock","2969638","rock","563195","Tie"
"rock","7726902","rock","582534","Tie"
"rock","4584581","rock","544399","Tie"
"rock","5691098","rock","577998","Tie"
"rock","5554361","rock","632808","Tie"
"rock","5257188","rock","1004770","Tie"
"rock","5219666","rock","581472","Tie"
"rock","3996472","rock","634544","Tie"
"rock","6617198","rock","573496","Tie"
"rock","5337605","rock","575428","Tie"
"rock","3660734","rock","588929","Tie"
"rock","6835528","rock","632469","Tie"
