"pinky","hummingbird","Clients TIE!"
"1","3","996"
"scissors","13996495","scissors","2228257","Tie"
"scissors","7614699","scissors","5346856","Tie"
"scissors","11128194","scissors","2327458","Tie"
"scissors","9484978","scissors","1455641","Tie"
"scissors","8889420","scissors","8877992","Tie"
"scissors","9772160","scissors","1603649","Tie"
"scissors","9122050","scissors","5035455","Tie"
"scissors","9298095","scissors","1850624","Tie"
"scissors","9189729","scissors","5129286","Tie"
"scissors","7512029","scissors","5238428","Tie"
"scissors","13552000","scissors","2484310","Tie"
"scissors","8201532","scissors","2179322","Tie"
"scissors","14459501","scissors","1724859","Tie"
"scissors","7648819","scissors","4322342","Tie"
"scissors","9854249","scissors","1835262","Tie"
"scissors","10740677","scissors","5858048","Tie"
"scissors","13923062","scissors","1750225","Tie"
"scissors","10215238","scissors","2228952","Tie"
"scissors","8893168","scissors","5176616","Tie"
"scissors","9324705","scissors","1468460","Tie"
"scissors","9461386","scissors","1614378","Tie"
"scissors","9199103","scissors","5126525","Tie"
"scissors","9033069","scissors","5107246","Tie"
"scissors","8739884","scissors","4581040","Tie"
"scissors","11097814","scissors","5026302","Tie"
"scissors","9743031","scissors","1729117","Tie"
"scissors","5934285","scissors","4186708","Tie"
"scissors","9091608","scissors","5102054","Tie"
"scissors","9321993","scissors","2202439","Tie"
"scissors","16041817","scissors","4482745","Tie"
"scissors","10711622","scissors","2491925","Tie"
"scissors","8859289","scissors","4825896","Tie"
"scissors","9044617","scissors","9033304","Tie"
"scissors","8232465","scissors","5321802","Tie"
"scissors","10979420","scissors","1588405","Tie"
"scissors","13802913","scissors","1751157","Tie"
"scissors","15453270","scissors","3271324","Tie"
"scissors","12300942","scissors","1555141","Tie"
"scissors","10648487","scissors","2953701","Tie"
"scissors","9366979","scissors","5241438","Tie"
"scissors","9038409","scissors","5035494","Tie"
"scissors","7341266","scissors","5112334","Tie"
"scissors","10094787","scissors","3161921","Tie"
"scissors","15096639","scissors","3465447","Tie"
"scissors","13533869","scissors","1510134","Tie"
"scissors","8490066","scissors","5183641","Tie"
"scissors","8428417","scissors","1804837","Tie"
"scissors","8118043","scissors","8107079","Tie"
"scissors","9575102","scissors","1612763","Tie"
"scissors","9251756","scissors","5223005","Tie"
"scissors","9539852","scissors","5309391","Tie"
"scissors","9582578","scissors","4840379","Tie"
"scissors","8599666","scissors","1907928","Tie"
"scissors","10395112","scissors","2253830","Tie"
"scissors","9056675","scissors","5083294","Tie"
"scissors","8342550","scissors","5172983","Tie"
"scissors","9905573","scissors","1877678","Tie"
"scissors","9493706","scissors","5293750","Tie"
"scissors","14034284","scissors","1745037","Tie"
"scissors","7763299","scissors","7752268","Tie"
"scissors","11026092","scissors","4531505","Tie"
"scissors","11615484","scissors","1663734","Tie"
"scissors","7140175","scissors","3144130","Tie"
"scissors","8031787","scissors","1727551","Tie"
"scissors","12239960","scissors","1479533","Tie"
"scissors","10875647","scissors","2421558","Tie"
