"Avalanch","AssClown","The winner is AssClown"
"2","997","1"
"rock","5316562","paper","5275354","AssClown won"
"rock","5309990","paper","5351835","AssClown won"
"rock","4751228","paper","5155877","AssClown won"
"rock","4634247","paper","5027800","AssClown won"
"rock","4726694","paper","5119369","AssClown won"
"rock","4752350","paper","5158764","AssClown won"
"rock","4658517","paper","5060635","AssClown won"
"rock","4688273","paper","5195005","AssClown won"
"rock","4663661","paper","5059409","AssClown won"
"rock","4508913","paper","4893028","AssClown won"
"rock","4750529","paper","5137903","AssClown won"
"rock","5601747","paper","5847159","AssClown won"
"rock","7590173","paper","7992913","AssClown won"
"rock","5503513","paper","5249773","AssClown won"
"rock","4191536","paper","4662898","AssClown won"
"rock","4503865","paper","4892424","AssClown won"
"rock","4741928","paper","5126313","AssClown won"
"rock","4739010","paper","5126867","AssClown won"
"rock","5403959","paper","5446105","AssClown won"
"rock","4598241","paper","4989349","AssClown won"
"rock","4933507","paper","4704303","AssClown won"
"rock","5339170","paper","5381273","AssClown won"
"rock","4725710","paper","5115522","AssClown won"
"rock","4709271","paper","5094630","AssClown won"
"rock","4598488","paper","4989263","AssClown won"
"rock","4007328","paper","4398695","AssClown won"
"rock","5388480","paper","5777618","AssClown won"
"rock","4739494","paper","5128520","AssClown won"
"rock","4727937","paper","5114153","AssClown won"
"rock","5204383","paper","5161793","AssClown won"
"rock","4810605","paper","5220708","AssClown won"
"rock","4664604","paper","5054683","AssClown won"
"rock","4734292","paper","5130373","AssClown won"
"rock","4706356","paper","5099427","AssClown won"
"rock","5256788","paper","5298696","AssClown won"
"rock","4704285","paper","5096041","AssClown won"
"rock","3674192","paper","4190929","AssClown won"
"rock","5688917","paper","6085302","AssClown won"
"rock","4557430","paper","4946716","AssClown won"
"rock","4570791","paper","4956272","AssClown won"
"rock","4521597","paper","4907037","AssClown won"
"rock","5456468","paper","5496056","AssClown won"
"rock","5597410","paper","5843961","AssClown won"
"rock","3675801","paper","4065659","AssClown won"
"rock","5011520","paper","4800752","AssClown won"
"rock","5249697","paper","5292195","AssClown won"
"rock","4729798","paper","5120944","AssClown won"
"rock","4739698","paper","5125351","AssClown won"
"rock","4715201","paper","5105460","AssClown won"
"rock","5281465","paper","5322599","AssClown won"
"rock","4807059","paper","5207173","AssClown won"
"rock","5181527","paper","5224142","AssClown won"
"rock","4916289","paper","4689230","AssClown won"
"rock","4796901","paper","5179541","AssClown won"
"rock","4748064","paper","5135051","AssClown won"
