"Avalanch","Poop","The winner is Poop"
"0","999","1"
"rock","8156328","paper","8621177","Poop won"
"rock","12521436","paper","13012185","Poop won"
"rock","10976488","paper","11456212","Poop won"
"rock","9490932","paper","10055505","Poop won"
"rock","15243157","paper","15340122","Poop won"
"rock","13243640","paper","13701473","Poop won"
"rock","11478828","paper","11933915","Poop won"
"rock","9616194","paper","10235554","Poop won"
"rock","15873819","paper","16342637","Poop won"
"rock","9290658","paper","9725648","Poop won"
"rock","9647628","paper","10133343","Poop won"
"rock","12095567","paper","12538842","Poop won"
"rock","8250695","paper","8693887","Poop won"
"rock","8600708","paper","9111943","Poop won"
"rock","12074163","paper","12533775","Poop won"
"rock","11025056","paper","11463316","Poop won"
"rock","9517307","paper","10015542","Poop won"
"rock","21155704","paper","21222192","Poop won"
"rock","9201381","paper","11100561","Poop won"
"rock","12315636","paper","12852939","Poop won"
"rock","12913302","paper","13350342","Poop won"
"rock","9466323","paper","9919441","Poop won"
"rock","8607221","paper","9255966","Poop won"
"rock","7920017","paper","8385371","Poop won"
"rock","12399753","paper","12880329","Poop won"
"rock","8677452","paper","9100950","Poop won"
"rock","10433038","paper","10942437","Poop won"
"rock","9316349","paper","9773703","Poop won"
"rock","10567366","paper","11146064","Poop won"
"rock","9652036","paper","10159157","Poop won"
"rock","8154602","paper","8614149","Poop won"
"rock","8294302","paper","8732660","Poop won"
"rock","8292785","paper","8749393","Poop won"
"rock","12558964","paper","13062104","Poop won"
"rock","8462115","paper","9045240","Poop won"
"rock","9664632","paper","9676189","Poop won"
"rock","11825088","paper","12333938","Poop won"
"rock","17994415","paper","18441716","Poop won"
"rock","9919247","paper","10389057","Poop won"
"rock","14270864","paper","14323477","Poop won"
"rock","12605159","paper","12593712","Poop won"
"rock","8781981","paper","9243738","Poop won"
"rock","12430960","paper","12926725","Poop won"
"rock","10626180","paper","11212027","Poop won"
"rock","10423332","paper","10472710","Poop won"
"rock","11758150","paper","12224553","Poop won"
"rock","11961198","paper","12424968","Poop won"
"rock","9559755","paper","10001756","Poop won"
"rock","15376491","paper","15480820","Poop won"
"rock","12944512","paper","12955542","Poop won"
"rock","9358226","paper","9800083","Poop won"
"rock","8451609","paper","8894740","Poop won"
"rock","14502694","paper","14573302","Poop won"
"rock","9787753","paper","10234308","Poop won"
"rock","11268303","paper","12251358","Poop won"
"rock","10861203","paper","11330032","Poop won"
"rock","11677056","paper","12112176","Poop won"
"rock","10066051","paper","10550651","Poop won"
"rock","11451286","paper","11909987","Poop won"
"rock","7702477","paper","8161403","Poop won"
"rock","10245085","paper","10734754","Poop won"
"rock","12199526","paper","12643882","Poop won"
"rock","7919434","paper","8492904","Poop won"
"rock","8181533","paper","8659859","Poop won"
"rock","12638761","paper","12026617","Poop won"
"rock","9014612","paper","9449219","Poop won"
"rock","13411028","paper","13422531","Poop won"
"rock","10874611","paper","11341300","Poop won"
"rock","9671473","paper","11468069","Poop won"
"rock","11589864","paper","12125831","Poop won"
"rock","11569355","paper","12026654","Poop won"
"rock","10063189","paper","10499732","Poop won"
"rock","9309628","paper","9754719","Poop won"
"rock","12787494","paper","13269796","Poop won"
"rock","8843778","paper","9282213","Poop won"
"rock","9395193","paper","9837584","Poop won"
"rock","11450117","paper","11915526","Poop won"
"rock","9182357","paper","9614689","Poop won"
"rock","12853251","paper","13353829","Poop won"
"rock","10567491","paper","13333982","Poop won"
"rock","9489955","paper","9926870","Poop won"
"rock","7348288","paper","15699954","Poop won"
"rock","13068474","paper","13523253","Poop won"
"rock","10261867","paper","10710128","Poop won"
"rock","11501932","paper","11552146","Poop won"
"rock","8334026","paper","8810659","Poop won"
"rock","8797041","paper","9229422","Poop won"
"rock","8248879","paper","8739898","Poop won"
"rock","11477552","paper","11962169","Poop won"
"rock","9037926","paper","9478356","Poop won"
"rock","12653013","paper","13207381","Poop won"
"rock","12431321","paper","12452523","Poop won"
"rock","8397108","paper","8835310","Poop won"
"rock","8939692","paper","8951412","Poop won"
"rock","12350145","paper","12808960","Poop won"
"rock","7910303","paper","8373868","Poop won"
"rock","8801041","paper","9293410","Poop won"
"rock","10842357","paper","11296047","Poop won"
"rock","13661757","paper","14134131","Poop won"
"rock","8846448","paper","10671087","Poop won"
"rock","9564340","paper","10014303","Poop won"
"rock","12391921","paper","12829042","Poop won"
"rock","10928351","paper","11353684","Poop won"
"rock","10862657","paper","11388420","Poop won"
"rock","9292452","paper","9747345","Poop won"
"rock","10288445","paper","10928911","Poop won"
"rock","10554836","paper","10607128","Poop won"
"rock","12032173","paper","12472555","Poop won"
"rock","8324232","paper","8756754","Poop won"
"rock","8647082","paper","9129350","Poop won"
"rock","13571288","paper","14021412","Poop won"
"rock","8435355","paper","8869224","Poop won"
"rock","11710610","paper","11762252","Poop won"
"rock","10637752","paper","11093722","Poop won"
"rock","9898324","paper","10328603","Poop won"
"rock","11649143","paper","12082617","Poop won"
"rock","13188861","paper","15703618","Poop won"
"rock","8978114","paper","9432778","Poop won"
"rock","9055897","paper","10887201","Poop won"
"rock","16109559","paper","16686535","Poop won"
"rock","8949270","paper","9383392","Poop won"
"rock","9916521","paper","10423774","Poop won"
"rock","12605280","paper","13045764","Poop won"
"rock","7933615","paper","8365364","Poop won"
"rock","12513436","paper","12981143","Poop won"
"rock","13424917","paper","13872760","Poop won"
"rock","8407234","paper","8839011","Poop won"
"rock","13527888","paper","14186727","Poop won"
"rock","9151291","paper","9587908","Poop won"
"rock","7655236","paper","8089331","Poop won"
"rock","9863214","paper","10336030","Poop won"
"rock","11258369","paper","11269998","Poop won"
"rock","9954748","paper","10384289","Poop won"
"rock","8975856","paper","9445117","Poop won"
"rock","13089353","paper","13152587","Poop won"
"rock","9845829","paper","10278727","Poop won"
"rock","11680981","paper","12158114","Poop won"
"rock","9948443","paper","10384946","Poop won"
"rock","7295297","paper","7729470","Poop won"
"rock","9398113","paper","9881900","Poop won"
"rock","9104726","paper","9539479","Poop won"
"rock","11497720","paper","11935461","Poop won"
"rock","10156183","paper","10205201","Poop won"
"rock","8671401","paper","9161238","Poop won"
"rock","12954479","paper","13401251","Poop won"
"rock","11484950","paper","11926488","Poop won"
"rock","10416613","paper","10468691","Poop won"
"rock","12904512","paper","12916580","Poop won"
"rock","12489949","paper","12925445","Poop won"
"rock","9634285","paper","10118442","Poop won"
"rock","10621494","paper","11054691","Poop won"
"rock","9699842","paper","10125939","Poop won"
"rock","11178749","paper","11662678","Poop won"
"rock","12884639","paper","13319750","Poop won"
"rock","8480451","paper","8922727","Poop won"
"rock","8648206","paper","9129277","Poop won"
"rock","9736522","paper","10186164","Poop won"
"rock","9435443","paper","9867150","Poop won"
"rock","8052340","paper","8525552","Poop won"
"rock","8375444","paper","8826631","Poop won"
"rock","8312066","paper","8744721","Poop won"
"rock","12433924","paper","12858378","Poop won"
"rock","9404901","paper","9980335","Poop won"
"rock","8090243","paper","8519020","Poop won"
"rock","9702577","paper","13345948","Poop won"
"rock","10013654","paper","10026071","Poop won"
"rock","12137306","paper","12603741","Poop won"
"rock","8290737","paper","8713657","Poop won"
"rock","7939567","paper","13020366","Poop won"
"rock","11702735","paper","12269924","Poop won"
"rock","9845905","paper","10290280","Poop won"
"rock","9704164","paper","10203274","Poop won"
"rock","7986917","paper","8431091","Poop won"
"rock","8444248","paper","8875859","Poop won"
"rock","11952629","paper","12433886","Poop won"
"rock","14087477","paper","14532196","Poop won"
"rock","11388727","paper","11817417","Poop won"
"rock","9936135","paper","10416812","Poop won"
"rock","9388691","paper","9834969","Poop won"
"rock","9458892","paper","9884037","Poop won"
"rock","8744337","paper","9243001","Poop won"
"rock","11531630","paper","11970999","Poop won"
"rock","9452122","paper","9883683","Poop won"
"rock","8101480","paper","11732149","Poop won"
"rock","9253680","paper","9692610","Poop won"
"rock","8494216","paper","8932751","Poop won"
"rock","8592985","paper","9064158","Poop won"
"rock","14173006","paper","14616328","Poop won"
"rock","8656540","paper","9085654","Poop won"
"rock","11634910","paper","12071109","Poop won"
"rock","11425078","paper","11875048","Poop won"
"rock","9449195","paper","9882726","Poop won"
"rock","11720580","paper","12163938","Poop won"
"rock","12992733","paper","13003972","Poop won"
"rock","9388177","paper","9823187","Poop won"
"rock","12363745","paper","12935856","Poop won"
"rock","13226058","paper","13672098","Poop won"
"rock","8410383","paper","8842675","Poop won"
"rock","12334321","paper","12811674","Poop won"
"rock","11605151","paper","12047170","Poop won"
"rock","11577285","paper","12018862","Poop won"
"rock","10468347","paper","10520135","Poop won"
"rock","11657561","paper","12112123","Poop won"
"rock","18936233","paper","19000912","Poop won"
"rock","9676557","paper","10172886","Poop won"
"rock","7485926","paper","7958425","Poop won"
"rock","9123968","paper","9565173","Poop won"
"rock","8147162","paper","11875567","Poop won"
"rock","8159169","paper","8235708","Poop won"
"rock","15111069","paper","15176194","Poop won"
"rock","9481573","paper","12541585","Poop won"
"rock","9953080","paper","10460985","Poop won"
"rock","12034281","paper","12465531","Poop won"
"rock","9353609","paper","9787108","Poop won"
